control,txn,set,elect,creat,load,zookeeper,number,packet,cluster,list,code,exist,connect,fail,follow,server,miss,check,oper,zxid,java,lead,receiv,write,system,send,member,start,state,inconsist,exit,test,call,method,updat,function,return,read,time,watch,problem,sync,crash,add,keeper,end,part,data,bug,restart,case,node,quorum,thread,provid,work,request,patch,perform,session,snapshot,allow,ensembl,report,commit,chang,observ
0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,4.0,7.0,9.0,0,0,0,2.0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,3.0,0,0
0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,7.0,0,0,0,0,0,0,8.0,2.0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.0,0,6.0,1.0,0,5.0,0,0,0,0,0,0,9.0,3.0,0,2.0,0,0,0,0,0,1.0,0,0,0,2.0,0,0,6.0,0,0,0,3.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,4.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,9.0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,1.0,0,0,3.0,1.0,0,0,0,0,7.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,1.0,0,0,0,0,0,2.0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6.0,0,0,5.0,2.0,0,0,0,0,0,9.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,1.0,0,2.0,0,0,0,0,0,0,1.0,0,0,0,7.0,0,2.0,4.0,8.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,3.0,0
0,0,0,0,0,0,6.0,0,0,5.0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,6.0,0,0,0,3.0,0,0,0,0,0,0,0,0,3.0,0,0,7.0,0,2.0,0,8.0,0,0,0,0,0,1.0,0,2.0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,9.0,0,0,0,2.0,0,8.0,0,0,0,0,0,2.0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0,3.0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,8.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0
0,0,2.0,0,0,0,6.0,0,0,5.0,0,0,1.0,0,4.0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,4.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6.0,0,0,0,0,1.0,0,0,0,7.0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,3.0,0,0,0,0,3.0,0,0,0,0,0,0
0,2.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,7.0,0,0,0,0,0,1.0,8.0,0,0,0,0,0,0,0,5.0,0,0,0,2.0,0,0,0,0,0,0,0,3.0,0,0,0,1.0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,3.0,0,1.0
1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,2.0,0,0,0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0
0,0,0,2.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,2.0,0,0,8.0,0,1.0,0,0,0,2.0,0,0,0,0,0,0,0,0,2.0,1.0,0,0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,3.0,0,0,0,0,0,0,0,0,3.0,3.0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,3.0,0,0,0,0,8.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
